playerID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
aaronha01,1982,BBWAA,415,312,406,Y,Player,NULL
abbotji01,2005,BBWAA,516,387,13,N,Player,NULL
abreubo01,2020,BBWAA,397,298,22,N,Player,NULL
abreubo01,2021,BBWAA,401,301,35,N,Player,NULL
abreubo01,2022,BBWAA,394,296,34,N,Player,NULL
abreubo01,2023,BBWAA,389,292,60,N,Player,NULL
abreubo01,2024,BBWAA,385,289,57,N,Player,NULL
adamsba01,1937,BBWAA,201,151,8,N,Player,NULL
adamsba01,1938,BBWAA,262,197,11,N,Player,NULL
adamsba01,1939,BBWAA,274,206,11,N,Player,NULL
adamsba01,1942,BBWAA,233,175,11,N,Player,NULL
adamsba01,1945,BBWAA,247,186,7,N,Player,NULL
adamsba01,1946,Nominating Vote,202,NULL,6,N,Player,Players in top 20 proceed to final ballot
adamsba01,1947,BBWAA,161,121,22,N,Player,NULL
adamsba01,1948,BBWAA,121,91,4,N,Player,NULL
adamsba01,1949,BBWAA,153,115,5,N,Player,NULL
adamsba01,1950,BBWAA,168,126,6,N,Player,NULL
adamsba01,1951,BBWAA,226,170,12,N,Player,NULL
adamsba01,1952,BBWAA,234,176,9,N,Player,NULL
adamsba01,1953,BBWAA,264,198,17,N,Player,NULL
adamsba01,1954,BBWAA,252,189,13,N,Player,NULL
adamsba01,1955,BBWAA,251,189,24,N,Player,NULL
adamsba01,1957,Veterans,NULL,NULL,NULL,N,Player,NULL
adamsba01,1959,Veterans,NULL,NULL,NULL,N,Player,NULL
adamsba01,1961,Veterans,NULL,NULL,NULL,N,Player,Preliminary poll
adamsba01,1962,Veterans,NULL,NULL,NULL,N,Player,Preliminary poll
adamsba01,1963,Veterans,NULL,NULL,NULL,N,Player,Group A - Holdover from 1962 ballot - two could be elected from Group A
adamsba01,1964,Veterans,NULL,NULL,NULL,N,Player,NULL
adamsba01,1980,Veterans,NULL,NULL,NULL,N,Player,NULL
adamsba01,1982,Veterans,NULL,NULL,NULL,N,Player,NULL
adamsba01,2003,Veterans - Players,NULL,NULL,NULL,N,Player,Preliminary ballot (200 players)
adamsba01,2005,Veterans - Players,NULL,NULL,NULL,N,Player,Preliminary ballot (200 players)
adamsba01,2007,Veterans - Players,NULL,NULL,NULL,N,Player,Preliminary ballot (200 players)
adamsbo03,1966,BBWAA,302,227,1,N,Player,NULL
adamsdo99,2016,Veterans - Pre-Integration Era,16,12,10,N,Pioneer,NULL
adamssp01,1958,BBWAA,266,200,1,N,Player,NULL
adamssp01,1960,BBWAA,269,202,1,N,Player,NULL
adcocjo01,2003,Veterans - Players,NULL,NULL,NULL,N,Player,Preliminary ballot (200 players)
adcocjo01,2005,Veterans - Players,NULL,NULL,NULL,N,Player,Preliminary ballot (200 players)
adcocjo01,2007,Veterans - Players,NULL,NULL,NULL,N,Player,Preliminary ballot (200 players)
ageeto01,1979,BBWAA,432,324,0,N,Player,NULL
aguilri01,2006,BBWAA,520,390,3,N,Player,NULL
akerja01,1980,BBWAA,385,289,0,N,Player,NULL
alexado01,1995,BBWAA,460,345,0,N,Player,NULL
alexape01,1936,BBWAA,226,170,55,N,Player,NULL
alexape01,1937,BBWAA,201,151,125,N,Player,NULL
alexape01,1938,BBWAA,262,197,212,Y,Player,NULL
allenbe01,1979,BBWAA,432,324,0,N,Player,NULL
allendi01,1983,BBWAA,374,281,14,N,Player,NULL
allendi01,1985,BBWAA,395,297,28,N,Player,NULL
allendi01,1986,BBWAA,425,319,41,N,Player,NULL
allendi01,1987,BBWAA,413,310,55,N,Player,NULL
allendi01,1988,BBWAA,427,321,52,N,Player,NULL
allendi01,1989,BBWAA,447,336,35,N,Player,NULL
allendi01,1990,BBWAA,444,333,58,N,Player,NULL
allendi01,1991,BBWAA,443,333,59,N,Player,NULL
allendi01,1992,BBWAA,430,323,69,N,Player,NULL
allendi01,1993,BBWAA,423,318,70,N,Player,NULL
allendi01,1994,BBWAA,456,342,66,N,Player,NULL
allendi01,1995,BBWAA,460,345,72,N,Player,NULL
allendi01,1996,BBWAA,470,353,89,N,Player,NULL
allendi01,1997,BBWAA,473,353,79,N,Player,NULL
allendi01,2003,Veterans - Players,81,61,13,N,Player,NULL
allendi01,2005,Veterans - Players,80,60,12,N,Player,NULL
allendi01,2007,Veterans - Players,84,62,11,N,Player,NULL
allendi01,2009,Veterans - 1943 and Later,64,48,7,N,Player,NULL
allendi01,2015,Veterans - Golden Era,16,12,11,N,Player,NULL
allendi01,2022,Veterans - Golden Age Era,16,12,11,N,Player,NULL
allenjo02,1955,BBWAA,251,189,1,N,Player,NULL
allenjo02,2003,Veterans - Players,NULL,NULL,NULL,N,Player,Preliminary ballot (200 players)
allenne02,2006,Negro League,NULL,NULL,NULL,N,Player,NULL
alleyge01,1979,BBWAA,432,324,0,N,Player,NULL
allisdo01,1936,Veterans,78,59,1,N,Player,NULL
alomaro01,2010,BBWAA,539,405,397,N,Player,NULL
