playerID,allStarCount,awardsCount,totalGames,totalHomeRuns,totalHits,totalPitchingStrikeOuts,totalPitchWins,totalFielderPutouts,eligible,class
allenmy01,0,0,156,4,157,3,1,306,0,False
allisdo01,0,0,316,2,382,0,0,1328,1,True
anderda01,0,0,21,0,6,56,3,3,0,False
anderva01,0,0,42,0,34,41,9,11,0,False
andrufr01,0,0,9,0,12,2,1,5,0,False
ansonca01,0,0,2524,97,3435,1,0,22572,1,True
arundha01,0,0,16,0,11,52,5,5,0,False
atkinal01,0,0,110,1,64,435,51,55,0,False
aydelja01,0,0,14,0,5,35,5,2,0,False
bakelje01,0,0,222,2,111,669,76,104,0,False
bakerki01,0,0,65,0,35,115,9,34,0,False
bakerno01,0,0,31,0,18,94,14,8,0,False
baldwki01,0,0,441,7,371,1,0,1956,0,False
baldwla01,0,0,134,0,114,582,73,64,0,False
baldwma01,0,0,348,10,188,1349,154,183,0,False
barnero01,0,0,499,6,860,0,0,1305,1,True
barrbo01,0,0,179,4,117,588,49,122,0,False
bartsch01,0,0,26,0,13,52,9,10,0,False
bastich01,0,0,504,11,342,2,0,878,0,False
batesjo01,0,0,1,0,0,3,0,0,0,False
battijo01,0,0,480,3,439,1,0,908,1,True
baueral01,0,0,7,0,5,26,1,1,0,False
bausege01,0,0,7,0,1,18,1,0,0,False
beamal01,0,0,2,0,1,1,1,0,0,False
beatied01,0,0,114,4,56,335,48,53,0,False
becanbu01,0,0,12,0,10,15,3,3,0,False
bechtge01,0,0,220,3,288,10,7,322,0,False
beckfr01,0,0,8,0,6,18,0,3,0,False
becklja01,0,0,2392,87,2938,2,0,23767,1,True
beeched01,0,0,283,7,325,0,0,511,0,False
begleed01,0,0,48,1,31,148,16,23,0,False
bellch01,0,0,13,0,4,20,4,6,0,False
bentlcy01,0,0,20,1,25,5,2,19,0,False
bickhda01,0,0,1,0,1,6,1,0,0,False
bierblo01,0,0,1385,34,1524,5,0,3777,1,False
bishobi01,0,0,7,0,1,9,0,0,0,False
blackbo01,0,0,38,1,36,93,4,58,0,False
blairbi01,0,0,4,0,4,16,1,2,0,False
blaisdi01,0,0,4,0,5,8,0,3,0,False
blauvhe01,0,0,2,0,3,5,0,1,0,False
blongjo01,0,0,136,0,119,65,13,155,0,False
bohnch01,0,0,4,0,2,1,1,5,0,False
bondto01,0,1,488,0,471,972,234,336,1,True
abbeybe01,0,0,79,0,38,161,22,17,0,False
abbeych01,0,0,452,19,493,0,0,920,0,False
abbotda01,0,0,3,0,1,1,0,3,0,False
ablesha01,0,0,14,0,0,41,1,1,0,False
adamsba01,0,2,482,3,216,1036,194,58,1,True
adamsjo01,0,0,1,0,0,0,0,1,0,False
adamsri01,0,0,12,0,4,25,2,4,0,False
adkindo01,0,0,6,0,2,3,1,0,0,False
altroni01,0,0,229,2,97,425,83,181,1,True
amesre01,0,0,533,3,143,1702,183,107,1,False
amoledo01,0,0,18,0,5,30,4,6,0,False
applefr01,0,0,3,0,2,12,1,0,0,False
arellfr01,0,0,77,1,24,148,24,17,0,False
bailebi01,0,0,210,0,71,570,38,35,1,False
baileha01,0,0,16,0,10,35,6,3,0,False
baileki01,0,0,1,0,2,0,1,1,0,False
bakerbo01,0,0,2,0,1,1,0,0,0,False
bakerer01,0,0,1,0,0,1,0,0,0,False
baldwof01,0,0,4,0,0,5,1,0,0,False
banksbi01,0,0,5,0,3,10,1,0,0,False
bannoji01,0,0,367,19,460,2,0,645,0,False
barbefr01,0,0,4,0,0,1,1,3,0,False
bargecy01,0,0,197,0,97,297,46,58,0,False
barryed01,0,0,12,0,2,34,1,4,0,False
barryto01,0,0,1,0,0,1,0,0,0,False
barthjo01,0,0,4,0,1,5,0,0,0,False
bartlbi01,0,0,19,0,3,24,0,11,0,False
batesfr01,0,0,27,0,16,18,3,18,0,False
beamer01,0,0,10,0,2,3,0,1,0,False
beckebo01,0,0,6,0,1,10,0,2,0,False
beebefr01,0,0,204,0,72,634,62,68,1,False
beechro01,0,0,5,0,1,5,0,1,0,False
bellge01,0,0,160,0,48,376,43,26,0,False
bendech01,0,3,509,6,243,1711,212,237,1,True
bergehe01,0,0,90,0,27,337,32,25,0,False
bernhbi01,0,0,232,0,129,545,116,83,0,False
bettsha01,0,0,2,0,0,2,0,1,1,False
bevilbe01,0,0,3,0,2,1,0,5,0,False
billiha01,0,0,52,0,10,62,8,5,0,False
blackge01,0,0,5,0,1,1,2,2,0,False
blankfr01,0,0,1,0,0,1,0,0,0,False
