playerID,allStarCount,awardsCount,totalGames,totalHomeRuns,totalHits,totalPitchingStrikeOuts,totalPitchWins,totalFielderPutouts,postHomeRuns,postHits,postPitchingStrikeOuts,postTotalWins,postFielderPutouts,class
adamsba01,0,2,482,3,216,1036,194,58,0,0,11,3,0,False
altroni01,0,0,229,2,97,425,83,181,0,1,5,1,6,False
bendech01,0,3,509,6,243,1711,212,237,0,3,59,6,3,True
alexape01,0,21,703,11,378,2198,373,189,0,1,29,3,2,True
allenjo02,1,4,365,4,124,1070,142,104,0,0,0,0,0,False
blackew01,6,3,237,1,77,839,82,46,0,0,4,0,0,False
alexado01,1,0,562,0,44,1528,194,264,0,0,16,0,2,False
alouma01,2,1,1667,31,1777,3,0,3794,0,16,NULL,NULL,27,False
bahnsst01,0,1,575,1,56,1359,146,154,0,0,1,0,0,False
bandosa01,4,2,2019,242,1790,0,0,1788,5,39,NULL,NULL,40,False
barrji01,0,0,481,1,83,741,101,148,0,0,2,0,0,False
billija01,1,0,476,0,62,1141,145,133,0,0,32,2,3,False
blassst01,1,0,295,1,94,896,103,137,0,0,29,3,4,False
bluevi01,6,6,508,4,53,2175,209,127,0,0,47,1,3,False
blylebe01,2,0,699,0,59,3701,287,287,0,1,36,5,2,True
bolinbo01,0,0,496,6,69,1175,88,87,0,0,2,0,0,False
bailobo01,0,0,955,9,775,0,0,1493,0,0,NULL,NULL,0,False
bedrost01,1,3,732,0,15,921,76,64,0,0,10,0,0,False
bibbyji01,1,1,341,5,31,1079,111,88,0,0,15,0,1,False
boddimi01,1,3,347,0,0,1330,134,245,0,0,29,2,1,False
boggswa01,12,17,2440,118,3010,2,0,2115,2,42,NULL,NULL,31,True
aguilri01,3,0,737,3,28,1030,86,99,0,0,17,2,1,False
archeji01,0,9,850,16,660,NULL,NULL,3861,0,2,NULL,NULL,31,False
bakerfr01,0,7,1575,96,1838,NULL,NULL,2154,3,33,NULL,NULL,36,True
barryja01,0,2,1225,10,1009,NULL,NULL,2226,0,21,NULL,NULL,40,False
beaumgi01,0,0,1465,39,1759,NULL,NULL,2860,0,9,NULL,NULL,21,False
bancrda01,0,8,1913,32,2004,NULL,NULL,4673,0,16,NULL,NULL,49,True
bigbeca01,0,2,1148,17,1205,NULL,NULL,2375,0,1,NULL,NULL,0,False
adamssp01,0,0,1424,9,1588,NULL,NULL,2287,0,4,NULL,NULL,4,False
bartedi01,2,2,2016,79,2165,NULL,NULL,4425,1,20,NULL,NULL,33,False
bergewa01,4,5,1350,242,1550,NULL,NULL,3430,0,0,NULL,NULL,8,False
